# TEMPLATE_NUM FILE                  REDSHIFT     NUM_POINTS LOG_LAMBDA                                                                                                                                                     LAMBDA                                                                                                                                                         SPEC                                                                                                                                                          
  27     spDR2-027.fit         -3.4E-5      4197   "(3.544068, 3.5441680000000004, 3.544268, 3.5443680000000004, 3.544468, 3.5445680000000004, 3.544668, 3.5447680000000004, 3.544868, 3.5449680000000003, 3.54..." "(3499.9996425790277, 3500.8056400696073, 3501.611823169332, 3502.4181919209527, 3503.2247463672143, 3504.0314865508867, 3504.838412514736, 3505.645524301551, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0026112239539840326, -0.011118598635785983, -0.01091647632258774, -0.009469700371025113, -0.021017636372537226..."
  28     spDR2-028.fit         -7.15E-5     3555   "(3.47712125472, 3.477221254716554, 3.4773212547131087, 3.477421254709663, 3.4775212547062173, 3.4776212547027714, 3.477721254699326, 3.47782125469588, 3.47..." "(3000.0000000023324, 3000.6908550409985, 3001.3818691732286, 3002.0730424356543, 3002.7643748649266, 3003.455866497693, 3004.147517370622, 3004.83932752037..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0029947855379139107, -0.008370494183507202, -0.011353430880197737, -0.010390987280864142, -0.024582640078..."
  29     spDR2-029.fit         0.0          5800   "(3.16009802915636, 3.160198029152914, 3.1602980291494687, 3.160398029146023, 3.1604980291425777, 3.160598029139132, 3.1606980291356863, 3.160798029132241, ..." "(1445.7660729214383, 1446.0990111801746, 1446.4320261096036, 1446.76511772738, 1447.0982860511638, 1447.4315310986178, 1447.7648528874133, 1448.09825143522..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -3.51631..."
  30     spDR2-030.fit         0.0          5440   "(3.0000313, 3.0001313, 3.0002313, 3.0003313, 3.0004313, 3.0005313, 3.0006313, 3.0007313, 3.0008312999999998, 3.0009313, 3.0010312999999997, 3.0011313, 3.00..." "(1000.072073510581, 1000.3023751288562, 1000.5327297821432, 1000.7631374826574, 1000.9935982426127, 1001.22411207423, 1001.4546789897287, 1001.6852990013354, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  31     spDR2-031.fit         0.0          4989   "(3.0512313, 3.0513313, 3.0514313, 3.0515313, 3.0516313, 3.0517313, 3.0518313, 3.0519313, 3.0520313, 3.0521313, 3.0522313, 3.0523313, 3.0524313, 3.0525313, ..." "(1125.2040845297054, 1125.463202175744, 1125.722379492694, 1125.9816164942988, 1126.240913194301, 1126.50026960645, 1126.7596857444948, 1127.0191616221916,..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  32     spDR2-032.fit         0.0          5800   "(3.1600311999999997, 3.1601312, 3.1602311999999997, 3.1603312, 3.1604311999999997, 3.1605312, 3.1606311999999996, 3.1607312, 3.1608312, 3.1609312, 3.1610312, " "(1445.5436158157818, 1445.8765028574537, 1446.2094665580235, 1446.5425069351475, 1446.8756240064802, 1447.208817789686, 1447.5420883024276, 1447.8754355623..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0...."
  40     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  41     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  42     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  43     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
